DAY,COM
0,0.037610619
1,0.037610619
2,0.037610619
3,0.037610619
4,0.037610619
5,0.037610619
6,0.037610619
7,0.099557522
8,0.099557522
9,0.099557522
10,0.099557522
11,0.099557522
12,0.099557522
13,0.099557522
14,0.165929204
15,0.165929204
16,0.165929204
17,0.165929204
18,0.165929204
19,0.165929204
20,0.165929204
21,0.210176991
22,0.210176991
23,0.210176991
24,0.210176991
25,0.210176991
26,0.210176991
27,0.210176991
28,0.342920354
29,0.342920354
30,0.342920354
31,0.342920354
32,0.342920354
33,0.342920354
34,0.342920354
35,0.590707965
36,0.590707965
37,0.590707965
38,0.590707965
39,0.590707965
40,0.590707965
41,0.590707965
42,0.619469027
43,0.619469027
44,0.619469027
45,0.619469027
46,0.619469027
47,0.619469027
48,0.619469027
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,0.942477876
57,0.942477876
58,0.942477876
59,0.942477876
60,0.942477876
61,0.942477876
62,0.942477876
63,0.818584071
64,0.818584071
65,0.818584071
66,0.818584071
67,0.818584071
68,0.818584071
69,0.818584071
70,0.60840708
71,0.60840708
72,0.60840708
73,0.60840708
74,0.60840708
75,0.60840708
76,0.60840708
77,0.453539823
78,0.453539823
79,0.453539823
80,0.453539823
81,0.453539823
82,0.453539823
83,0.453539823
84,0.650442478
85,0.650442478
86,0.650442478
87,0.650442478
88,0.650442478
89,0.650442478
90,0.650442478
91,0.347345133
92,0.347345133
93,0.347345133
94,0.347345133
95,0.347345133
96,0.347345133
97,0.347345133
98,0.227876106
99,0.227876106
100,0.227876106
101,0.227876106
102,0.227876106
103,0.227876106
104,0.227876106